cluster-assignment,text-data
0,gener inform in thi kernel i work with ieee fraud detect competit eee ci work across a varieti of ai and machin learn area includ deep neural network fuzzi system evolutionari comput and swarm intellig today they’r partner with the world’ lead payment servic compani vesta corpor seek the best solut for fraud prevent industri and now you are invit to join the challeng we have a binari classif problem with a heavi imbal which is an inher properti of such problem at first i ll explor the data and tri to find valuabl insight mayb i ll do some featur engin and then it wil be time to build model work in progress
1,import librari
0,function use in thi kernel they are in the hidden cell below
0,data load and overview data is separ into two dataset inform about the ident of the custom and transact inform not all transact belong to ident which are avail mayb it would be possibl to use addit transact to gener new featur
0,so we have two medium size dataset with a lot of column train and test data have similar number of row
0,most of column have miss data which is normal in real world also there are column with one uniqu valu or all miss there are a lot of continu variabl and some categor let s have a closer look at them
0,data explor let s start with ident inform id 01 id 11 are continu variabl id 12 id 38 are categor and the last two column are obvious also categor
0,id 01 ha an interest distribut it ha 77 uniqu non posit valu with skew to 0
0,id 03 ha 88 of miss valu and 98 of valu are either miss or equal to 0
0,22 of valu in id 11 are equal to 100and 76 are miss quit strang
0,some of featur seem to be normal so if someon want to normal all variabl it would be necessari to separ such variabl which seem to be alreadi normal
0,we have sever featur show some kind of found statu and sever binari column
0,here we can see some inform about client s devic it is import to be care here some of info could be for old devic and may be absent from test data now let s have a look at transact data
0,a veri import idea it seem that train and test transact date don t overlap so it would be prudent to use time base split for valid thi wa alreadi note in aboth kernel
0,so card6 is type of card card4 is credit card compani
0,featur engin let s creat some aggreg there is no logic in them simpli aggreg on top featur
0,prepar data for model
2,lgbm
3,blend
0,santand eda and predict dataset use santand custom transact predict content introduct prepar the data analysi data explor check the data densiti plot of featur distribut of mean and std distribut of min and max distribut of skew and kurtosi featur correl duplic valu featur engin model submiss refer
0,introduct in thi challeng santand invit kaggler to help them identifi which custom will make a specif transact in the futur irrespect of the amount of money transact the data provid for thi competit ha the same structur a the real data they have avail to solv thi problem the data is anonimyz each row contain 200 numer valu identifi just with a number in the follow we will explor the data prepar it for a model train a model and predict the target valu for the test set then prepar a submiss stay tune i will frequent updat thi kernel in the next day
0,prepar for data analysi load packag
0,load data let s check what data file are avail
0,let s load the train and test data file
0,data explor check the data let s check the train and test set
0,both train and test data have 200 000 entri and 202 respectivelli 201 column let s glimps train and test dataset
0,train contain id code string target 200 numer variabl name from var 0 to var 199 test contain id code string 200 numer variabl name from var 0 to var 199 let s check if there are ani miss data we will also chech the type of data we check first train
0,here we check test dataset
0,there are no miss data in train and test dataset let s check the numer valu in train and test dataset
0,we can make few observ here standard deviat is rel larg for both train and test variabl data min max mean sdt valu for train and test data look quit close mean valu are distribut over a larg rang the number of valu in train and test set is the same let s plot the scatter plot for train and test set for few of the featur
0,we will show just 5 of the data on x axi we show train valu and on the y axi we show the test valu
0,let s check the distribut of target valu in train dataset
0,the data is unbalanc with respect with target valu
0,densiti plot of featur let s show now the densiti plot of variabl in train dataset we repres with differ color the distribut for valu with target valu 0 and 1
0,the first 100 valu are display in the follow cell press output to display the plot
0,the next 100 valu are display in the follow cell press output to display the plot
0,we can observ that there is a consider number of featur with signific differ distribut for the two target valu for exampl var 0 var 1 var 2 var 5 var 9 var 13 var 106 var 109 var 139 and mani other also some featur like var 2 var 13 var 26 var 55 var 175 var 184 var 196 show a distribut that resambl to a bivari distribut we will take thi into consider in the futur for the select of the featur for our predict model le t s now look to the distribut of the same featur in parallel in train and test dataset the first 100 valu are display in the follow cell press output to display the plot
0,the next 100 valu are display in the follow cell press output to display the plot
0,the train and test seem to be well ballanc with respect with distribut of the numer variabl distribut of mean and std let s check the distribut of the mean valu per row in the train and test set
0,let s check the distribut of the mean valu per column in the train and test set
0,let s show the distribut of standard deviat of valu per row for train and test dataset
0,let s check the distribut of the standard deviat of valu per column in the train and test dataset
0,let s check now the distribut of the mean valu per row in the train dataset group by valu of target
0,let s check now the distribut of the mean valu per column in the train dataset group by valu of target
0,distribut of min and max let s check the distribut of min per row in the train and test set
0,a long queue to the lower valu for both extend a long a to 80 for test set is observ let s now show the distribut of min per column in the train and test set
0,let s check now the distribut of max valu per row for train and test set
0,let s show now the max distribut on column for train and test set
0,let s show now the distribut of min valu per row in train set separ on the valu of target 0 and 1
0,we show here the distribut of min valu per column in train set
0,let s show now the distribut of max valu per rown in the train set
0,let s show also the distribut of max valu per column in the train set
0,distribut of skew and kurtosi let s see now what is the distribut of skew valu per row and column let s see first the distribut of skew calcul per row in train and test set
0,let s see first the distribut of skew calcul per column in train and test set
0,let s see now what is the distribut of kurtosi valu per row and column let s see first the distribut of kurtosi calcul per row in train and test set
0,let s see first the distribut of kurtosi calcul per column in train and test set
0,let s see now the distribut of skew on row in train separ for valu of target 0 and 1
0,let s see now the distribut of skew on column in train separ for valu of target 0 and 1
0,let s see now the distribut of kurtosi on row in train separ for valu of target 0 and 1
0,let s see now the distribut of kurtosi on column in train separ for valu of target 0 and 1
0,featur correl we calcul now the correl between the featur in train set the follow tabl show the first 10 the least correl featur
0,let s look to the top most correl featur besid the same featur pair
0,let s see also the least correl featur
0,the correl between the featur is veri small duplic valu let s now check how mani duplic valu exist per column
0,let s show the top 15 max of duplic valu per train set
0,let s see also the top 15 number of duplic valu per test set
0,same column in train and test set have the same or veri close number of duplic of same or veri close valu thi is an interest pattern that we might be abl to use in the futur
0,featur engin thi section is under construct let s calcul for start few aggreg valu for the exist featur
0,let s check the new creat featur
0,let s check the distribut of these new engin featur we plot first the distribut of new featur group by valu of correspond target valu
0,let s show the distribut of new featur valu for train and test
0,we add round featur note thi is a work in progress some of the featur ad here will be later drop featur c for c in train df column if c not in id code target for featur in featur train df r2 featur np round train df featur 2 test df r2 featur np round test df featur 2 train df r1 featur np round train df featur 1 test df r1 featur np round test df featur 1 let s check how mani featur we have now
0,model from the train column list we drop the id and target to form the featur list
0,we defin the hyperparamet for the model
0,we run the model
0,let s check the featur import
0,submiss we submit the solut
4,refer 1 2 3
0,introduct home credit default risk competit thi notebook is intend for those who are new to machin learn competit or want a gentl introduct to the problem i purpos avoid jump into complic model or join togeth lot of data in order to show the basic of how to get start in machin learn ani comment or suggest are much appreci in thi notebook we will take an initi look at the home credit default risk machin learn competit current host on kaggl the object of thi competit is to use histor loan applic data to predict whether or not an applic will be abl to repay a loan thi is a standard supervis classif task supervis the label are includ in the train data and the goal is to train a model to learn to predict the label from the featur classif the label is a binari variabl 0 will repay loan on time 1 will have difficulti repay loan data the data is provid by home credit a servic dedic to provid line of credit loan to the unbank popul predict whether or not a client will repay a loan or have difficulti is a critic busi need and home credit is host thi competit on kaggl to see what sort of model the machin learn commun can develop to help them in thi task there are 7 differ sourc of data applic train applic test the main train and test data with inform about each loan applic at home credit everi loan ha it own row and is identifi by the featur sk id curr the train applic data come with the target indic 0 the loan wa repaid or 1 the loan wa not repaid bureau data concern client s previou credit from other financi institut each previou credit ha it own row in bureau but one loan in the applic data can have multipl previou credit bureau balanc monthli data about the previou credit in bureau each row is one month of a previou credit and a singl previou credit can have multipl row one for each month of the credit length previou applic previou applic for loan at home credit of client who have loan in the applic data each current loan in the applic data can have multipl previou loan each previou applic ha one row and is identifi by the featur sk id prev po cash balanc monthli data about previou point of sale or cash loan client have had with home credit each row is one month of a previou point of sale or cash loan and a singl previou loan can have mani row credit card balanc monthli data about previou credit card client have had with home credit each row is one month of a credit card balanc and a singl credit card can have mani row instal payment payment histori for previou loan at home credit there is one row for everi made payment and one row for everi miss payment thi diagram show how all of the data is relat imag moreov we are provid with the definit of all the column in homecredit column descript csv and an exampl of the expect submiss file in thi notebook we will stick to use onli the main applic train and test data although if we want to have ani hope of serious compet we need to use all the data for now we will stick to one file which should be more manag thi will let u establish a baselin that we can then improv upon with these project it s best to build up an understand of the problem a littl at a time rather than dive all the way in and get complet lost metric roc auc onc we have a grasp of the data read through the column descript help immens we need to understand the metric by which our submiss is judg in thi case it is a common classif metric known a the receiv oper characterist area under the curv roc auc also sometim call auroc the roc auc may sound intimid but it is rel straightforward onc you can get your head around the two individu concept the reciev oper characterist roc curv graph the true posit rate versu the fals posit rate imag a singl line on the graph indic the curv for a singl model and movement along a line indic chang the threshold use for classifi a posit instanc the threshold start at 0 in the upper right to and goe to 1 in the lower left a curv that is to the left and abov anoth curv indic a better model for exampl the blue model is better than the red model which is better than the black diagon line which indic a naiv random guess model the area under the curv auc explain itself by it name it is simpli the area under the roc curv thi is the integr of the curv thi metric is between 0 and 1 with a better model score higher a model that simpli guess at random will have an roc auc of 0 5 when we measur a classifi accord to the roc auc we do not gener 0 or 1 predict but rather a probabl between 0 and 1 thi may be confus becaus we usual like to think in term of accuraci but when we get into problem with inbalanc class we will see thi is the case accuraci is not the best metric for exampl if i want to build a model that could detect terrorist with 99 9999 accuraci i would simpli make a model that predict everi singl person wa not a terrorist clearli thi would not be effect the recal would be zero and we use more advanc metric such a roc auc or the f1 score to more accur reflect the perform of a classifi a model with a high roc auc will also have a high accuraci but the roc auc is a better represent of model perform not that we know the background of the data we are use and the metric to maxim let s get into explor the data in thi notebook a mention previous we will stick to the main data sourc and simpl model which we can build upon in futur work follow up notebook for those look to keep work on thi problem i have a seri of follow up notebook manual featur engin part one manual featur engin part two introduct to autom featur engin advanc autom featur engin featur select intro to model tune grid and random search autom model tune model tune result i ll add more notebook a i finish them thank for all the comment
1,import we are use a typic data scienc stack numpi panda sklearn matplotlib
0,read in data first we can list all the avail data file there are a total of 9 file 1 main file for train with target 1 main file for test without the target 1 exampl submiss file and 6 other file contain addit inform about each loan
0,the train data ha 307511 observ each one a separ loan and 122 featur variabl includ the target the label we want to predict
0,the test set is consider smaller and lack a target column
0,exploratori data analysi exploratori data analysi eda is an open end process where we calcul statist and make figur to find trend anomali pattern or relationship within the data the goal of eda is to learn what our data can tell u it gener start out with a high level overview then narrow in to specif area a we find intrigu area of the data the find may be interest in their own right or they can be use to inform our model choic such a by help u decid which featur to use examin the distribut of the target column the target is what we are ask to predict either a 0 for the loan wa repaid on time or a 1 indic the client had payment difficulti we can first examin the number of loan fall into each categori
0,from thi inform we see thi is an imbalanc class problem there are far more loan that were repaid on time than loan that were not repaid onc we get into more sophist machin learn model we can weight the class by their represent in the data to reflect thi imbal examin miss valu next we can look at the number and percentag of miss valu in each column
0,when it come time to build our machin learn model we will have to fill in these miss valu known a imput in later work we will use model such a xgboost that can handl miss valu with no need for imput anoth option would be to drop column with a high percentag of miss valu although it is imposs to know ahead of time if these column will be help to our model therefor we will keep all of the column for now column type let s look at the number of column of each data type int64 and float64 are numer variabl which can be either discret or continu object column contain string and are categor featur
0,let s now look at the number of uniqu entri in each of the object categor column
0,most of the categor variabl have a rel small number of uniqu entri we will need to find a way to deal with these categor variabl encod categor variabl befor we go ani further we need to deal with peski categor variabl a machin learn model unfortun cannot deal with categor variabl except for some model such a lightgbm therefor we have to find a way to encod repres these variabl a number befor hand them off to the model there are two main way to carri out thi process label encod assign each uniqu categori in a categor variabl with an integ no new column are creat an exampl is shown below imag one hot encod creat a new column for each uniqu categori in a categor variabl each observ reciev a 1 in the column for it correspond categori and a 0 in all other new column imag the problem with label encod is that it give the categori an arbitrari order the valu assign to each of the categori is random and doe not reflect ani inher aspect of the categori in the exampl abov programm reciev a 4 and data scientist a 1 but if we did the same process again the label could be revers or complet differ the actual assign of the integ is arbitrari therefor when we perform label encod the model might use the rel valu of the featur for exampl programm 4 and data scientist 1 to assign weight which is not what we want if we onli have two uniqu valu for a categor variabl such a male femal then label encod is fine but for more than 2 uniqu categori one hot encod is the safe option there is some debat about the rel merit of these approach and some model can deal with label encod categor variabl with no issu here is a good stack overflow discus i think and thi is just a person opinion for categor variabl with mani class one hot encod is the safest approach becaus it doe not impos arbitrari valu to categori the onli downsid to one hot encod is that the number of featur dimens of the data can explod with categor variabl with mani categori to deal with thi we can perform one hot encod follow by pca or other dimension reduct method to reduc the number of dimens while still tri to preserv inform in thi notebook we will use label encod for ani categor variabl with onli 2 categori and one hot encod for ani categor variabl with more than 2 categori thi process may need to chang a we get further into the project but for now we will see where thi get u we will also not use ani dimension reduct in thi notebook but will explor in futur iter label encod and one hot encod let s implement the polici describ abov for ani categor variabl dtype object with 2 uniqu categori we will use label encod and for ani categor variabl with more than 2 uniqu categori we will use one hot encod for label encod we use the scikit learn labelencod and for one hot encod the panda get dummi df function
0,align train and test data there need to be the same featur column in both the train and test data one hot encod ha creat more column in the train data becaus there were some categor variabl with categori not repres in the test data to remov the column in the train data that are not in the test data we need to align the datafram first we extract the target column from the train data becaus thi is not in the test data but we need to keep thi inform when we do the align we must make sure to set axi 1 to align the datafram base on the column and not on the row
0,the train and test dataset now have the same featur which is requir for machin learn the number of featur ha grown significantli due to one hot encod at some point we probabl will want to tri dimension reduct remov featur that are not relev to reduc the size of the dataset back to exploratori data analysi anomali one problem we alway want to be on the lookout for when do eda is anomali within the data these may be due to mi type number error in measur equip or they could be valid but extrem measur one way to support anomali quantit is by look at the statist of a column use the describ method the number in the day birth column are neg becaus they are record rel to the current loan applic to see these stat in year we can mutlipl by 1 and divid by the number of day in a year
0,those age look reason there are no outlier for the age on either the high or low end how about the day of employ
0,that doesn t look right the maximum valu besid be posit is about 1000 year
0,just out of curious let s subset the anomal client and see if they tend to have higher or low rate of default than the rest of the client
0,well that is extrem interest it turn out that the anomali have a lower rate of default handl the anomali depend on the exact situat with no set rule one of the safest approach is just to set the anomali to a miss valu and then have them fill in use imput befor machin learn in thi case sinc all the anomali have the exact same valu we want to fill them in with the same valu in case all of these loan share someth in common the anomal valu seem to have some import so we want to tell the machin learn model if we did in fact fill in these valu a a solut we will fill in the anomal valu with not a number np nan and then creat a new boolean column indic whether or not the valu wa anomal
0,the distribut look to be much more in line with what we would expect and we also have creat a new column to tell the model that these valu were origin anomal becuas we will have to fill in the nan with some valu probabl the median of the column the other column with day in the datafram look to be about what we expect with no obviou outlier a an extrem import note anyth we do to the train data we also have to do to the test data let s make sure to creat the new column and fill in the exist column with np nan in the test data
